Date,Sales_size,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2017-01-05,7.80625527214156,304033,243,0,0,30554,0,0,1352,661,0
2017-01-06,7.793119517629237,309968,248,0,0,24597,0,0,1352,1654,0
2017-01-07,7.907822304017803,328259,263,0,0,26583,0,0,0,1654,0
2017-01-08,7.431162973880716,337666,268,0,0,31657,0,0,0,1433,0
2017-01-09,7.980663132613135,315823,253,0,1352,90780,0,0,0,9706,0
2017-01-10,7.830759567921679,317680,253,0,0,17538,0,0,0,2426,0
2017-01-11,7.92359018373776,306940,243,0,676,17758,0,0,0,1544,0
2017-01-12,7.546704905939879,318043,253,0,0,21178,0,0,0,3529,0
2017-01-13,7.026859160253711,288811,229,0,0,17317,0,0,0,1875,0
2017-01-14,6.88955915690541,293858,234,0,0,15994,0,0,0,1433,0
2017-01-15,7.592567434900523,284370,229,0,0,23715,0,0,0,1764,0
2017-01-16,7.038040762207663,289174,229,0,676,74234,0,0,0,10920,0
2017-01-17,6.909452745883087,295796,234,0,676,18420,0,0,0,1544,0
2017-01-18,5.744764010620586,286712,224,0,2028,15994,0,0,676,1544,0
2017-01-19,6.988225008458301,273105,219,0,676,12023,0,0,676,992,0
2017-01-20,6.918408405359011,278555,224,0,0,20957,0,0,0,1875,0
2017-01-21,7.244217111598347,287236,229,0,0,17207,0,0,676,2095,0
2017-01-22,7.2808256349070435,272055,214,0,0,18310,0,0,676,2647,0
2017-01-23,6.0899130277118045,289901,229,0,0,34745,0,0,0,1875,0
2017-01-24,6.431169232451901,295473,234,0,4056,15663,0,0,0,2095,0
2017-01-25,6.233969513272956,287600,224,0,0,13457,0,0,1352,1103,0
2017-01-26,7.716024720043157,273105,219,0,0,15773,0,0,0,1323,0
2017-01-27,7.763068563834312,283280,229,0,2028,18420,0,0,0,2426,0
2017-01-28,7.570248674016317,288488,229,0,0,15442,0,0,0,2316,0
2017-01-29,7.914391837628086,287196,229,0,0,14449,0,0,0,1544,0
2017-01-30,6.967431015385639,293616,229,0,0,61329,0,0,0,5846,0
2017-01-31,7.7537152844412,297532,234,0,676,14008,0,0,0,1213,0
2017-02-01,7.600343149328141,286065,224,0,0,15883,0,0,2704,1433,0
2017-02-02,7.95706949631592,272055,219,0,2704,15332,0,0,0,1103,0
2017-02-03,7.824812680668587,278192,224,0,676,14560,0,0,0,1433,0
2017-02-04,7.68995758139136,285783,229,0,1352,12464,0,0,0,992,0
2017-02-05,7.92107629019365,285904,229,0,0,21068,0,0,0,1213,0
2017-02-06,7.838746839520053,288690,229,0,2028,40481,0,0,0,6397,0
2017-02-07,7.555756426066942,295473,234,0,6085,12905,0,0,0,1103,0
2017-02-08,7.902414877553346,286550,224,0,1352,17207,0,0,1352,1213,0
2017-02-09,8.05236374178078,276658,219,0,5409,20185,0,0,2028,1433,0
2017-02-10,8.071525865425489,276940,224,0,1352,18420,0,0,676,1654,0
2017-02-11,7.707824129637061,286187,229,0,1352,15332,0,0,676,772,0
2017-02-12,7.904713534157749,293575,234,0,0,18641,0,0,0,772,0
2017-02-13,7.164432798580012,289174,229,0,2704,59012,0,0,0,10147,0
2017-02-14,6.50717017159837,281947,224,0,3380,16214,0,0,0,1654,0
2017-02-15,6.688651839740291,272338,214,0,5409,14449,0,0,1352,1433,0
2017-02-16,7.726308120355615,259094,209,0,10818,19413,0,0,676,1764,0
2017-02-17,7.9721023963415325,263939,214,0,2028,22171,0,0,676,2095,0
2017-02-18,7.4702450359575785,294221,239,0,0,19192,0,0,0,1433,0
2017-02-19,7.684255685013659,272015,219,0,0,17428,0,0,0,1323,0
2017-02-20,7.106593107294101,278273,224,0,8789,90780,0,0,0,15001,0
2017-02-21,7.639301737142656,280453,224,0,676,16545,0,0,676,4522,0
2017-02-22,8.036525370651427,318205,253,0,1352,21288,0,0,676,1764,0
2017-02-23,7.977929467088503,303427,243,0,2028,19523,0,0,2028,2757,0
2017-02-24,7.77640769448742,257075,200,0,0,11471,0,0,676,1544,0
2017-02-25,6.764200990955168,269309,219,0,0,15111,0,0,0,1323,0
2017-02-26,7.537829652257394,328703,258,0,0,13236,0,0,0,1544,0
2017-02-27,7.270676919956399,274720,219,0,2028,72800,0,0,0,15883,0
2017-02-28,6.239562738580765,281341,224,0,18255,11912,0,0,0,1654,0
2017-03-01,6.4896884999904785,274800,219,0,5409,21399,210919,0,676,992,0
2017-03-02,7.651309317637813,257358,209,0,4732,17538,0,0,2028,1433,0
2017-03-03,7.774018333751237,277183,224,0,3380,24046,0,0,0,1654,0
2017-03-04,7.75407024302408,275689,219,0,676,16545,210919,0,0,882,0
2017-03-05,7.867028973068135,277990,224,0,0,18972,0,0,0,1213,0
2017-03-06,6.013072929672398,279646,224,0,0,63535,0,0,0,7500,0
2017-03-07,6.544944332218659,303629,243,0,676,13015,0,0,0,1323,0
2017-03-08,5.300984445277303,270844,214,0,1352,10699,210919,0,0,1764,0
2017-03-09,6.796663528103181,258488,209,0,1352,12684,0,0,0,1103,0
2017-03-10,7.098888624629247,281543,229,0,1352,16325,0,0,1352,1103,0
2017-03-11,7.5401991258485515,275447,219,0,2028,13567,210919,0,676,1323,0
2017-03-12,7.413336414067666,279282,224,0,0,12243,843679,0,676,772,0
2017-03-13,7.357325874691854,274962,219,0,1352,81625,421839,0,0,13015,0
2017-03-14,6.911427336831742,281745,224,0,10818,12905,0,0,6085,1323,0
2017-03-15,7.40460203666524,265877,209,0,5409,17538,0,0,676,772,0
2017-03-16,8.109579994995308,264222,214,0,4056,17317,0,0,676,772,0
2017-03-17,8.022973956349611,275729,224,0,2028,25039,0,0,676,1654,0
2017-03-18,7.490838757632699,285218,229,0,676,13898,210919,0,0,1103,210919
2017-03-19,7.5923704777347725,279848,224,0,676,14339,210919,0,676,992,210919
2017-03-20,7.409784526204809,279323,224,0,1352,338302,0,0,0,44342,0
2017-03-21,7.0360166341750086,281341,224,0,6761,10809,0,0,0,772,0
2017-03-22,7.186835257274752,271086,214,0,4056,16655,0,0,676,661,0
2017-03-23,7.90402236634048,258488,209,0,10142,19303,210919,0,676,1433,0
2017-03-24,7.783878705994821,277586,224,149,2028,17428,0,0,676,1985,0
2017-03-25,8.013021224186268,302983,243,0,2028,15663,0,0,676,1985,0
2017-03-26,7.490315291339442,290143,239,0,0,23605,210919,0,0,5184,0
2017-03-27,7.021685287840033,285823,234,0,1352,547108,210919,0,0,57027,0
2017-03-28,7.266495491264976,273185,224,0,3380,12905,0,0,676,3529,0
2017-03-29,7.611130333530579,264949,219,0,2704,20295,0,0,676,1433,0
2017-03-30,7.837245390959632,275971,229,0,7437,15552,0,0,2028,882,0
2017-03-31,7.7573810364967395,271167,224,0,2028,15773,0,0,3380,1433,0
2017-04-01,7.497469162208712,310776,258,0,3380,19303,210919,0,676,1654,210919
2017-04-02,7.930032061961821,277062,229,0,0,17538,210919,0,0,1433,0
2017-04-03,7.593852676954675,287963,239,0,0,62432,210919,0,0,9265,0
2017-04-04,7.061997494325061,272055,224,0,1352,14780,0,0,676,1323,0
2017-04-05,7.459986684251949,271490,224,0,4732,10920,210919,0,2704,772,0
2017-04-06,7.9041783873109965,282432,234,0,5409,15332,0,0,3380,772,0
2017-04-07,7.982850870236236,276496,229,0,1352,13126,210919,0,676,1654,0
2017-04-08,7.797495656960453,309645,258,0,0,12684,421839,0,0,330,210919
2017-04-09,7.7172610784283995,278555,229,0,0,18200,210919,0,676,1103,0
2017-04-10,7.642531219755667,287963,239,0,676,52615,0,0,676,3750,0
2017-04-11,7.091214697177333,272136,224,0,4732,18420,0,0,0,992,0
2017-04-12,7.341628899875201,271328,224,0,4732,14670,210919,0,2028,1544,210919
2017-04-13,7.794651666008765,275971,229,0,4056,14449,0,0,2028,2647,0
2017-04-14,7.92191307733367,277627,229,0,4056,17648,0,0,0,2536,0
2017-04-15,6.622485643112253,312956,258,0,1352,16986,210919,0,676,882,0
2017-04-16,7.160190666051586,278192,229,0,0,11912,210919,0,0,1654,0
2017-04-17,7.848787725850589,284370,234,0,4732,98832,421839,0,676,12133,0
2017-04-18,7.445094893197698,268461,219,0,8113,22171,0,0,676,2536,0
2017-04-19,7.867669480210252,266846,219,0,8789,22832,0,0,3380,1213,0
2017-04-20,8.013705108613227,278111,229,0,16903,22281,0,0,3380,1433,0
2017-04-21,7.733298633624764,289780,239,0,8113,24377,0,0,1352,2757,0
2017-04-22,7.933304382086923,321597,268,0,1352,14008,210919,0,1352,1544,210919
2017-04-23,7.977196201512483,289336,239,0,676,16104,210919,0,676,1985,210919
2017-04-24,7.721252997123791,293737,243,0,2028,125195,0,0,1352,18641,0
2017-04-25,7.577760596689885,283724,234,0,11494,26472,210919,0,4056,3198,0
2017-04-26,7.287610083088758,270601,224,0,3380,24046,210919,0,676,1654,0
2017-04-27,8.007877169616934,318245,263,0,3380,24046,0,0,676,2647,0
2017-04-28,7.868187337048561,325392,268,0,1352,28127,0,0,676,2647,0
2017-04-29,7.343297625271967,344490,278,0,676,19192,421839,0,0,1433,0
2017-04-30,7.023799650307341,305971,253,0,0,17979,210919,0,0,1433,0
2017-05-01,6.260390198507722,322929,268,0,676,152329,0,0,0,11140,0
2017-05-02,6.144063732338376,330116,273,0,0,16325,0,0,1352,1985,0
2017-05-03,6.514639025919927,289619,239,0,0,15001,0,0,0,1544,0
2017-05-04,7.542581402180262,313683,258,0,1352,18862,0,0,0,1213,0
2017-05-05,7.696302490539914,314127,258,0,0,18972,0,0,0,1654,0
2017-05-06,7.814233185884748,330358,268,0,676,16986,632759,0,676,2206,210919
2017-05-07,6.969774853957498,319376,263,0,0,14891,0,0,0,1323,210919
2017-05-08,7.488646103103195,331125,273,0,0,72249,0,0,0,8383,0
2017-05-09,7.3492298192688255,362821,292,0,0,12023,0,0,0,1764,0
2017-05-10,7.53719888745692,306415,253,0,676,17538,210919,0,1352,1213,0
2017-05-11,7.883679049505238,330560,273,0,2704,16325,0,0,676,1985,0
2017-05-12,7.090289692930826,332216,273,0,0,15332,210919,0,676,1764,0
2017-05-13,6.781799572591986,333023,268,0,0,14008,210919,0,676,1985,0
2017-05-14,7.9168532605944675,321395,263,0,0,23163,421839,0,676,1544,210919
2017-05-15,7.76316421053191,330560,273,149,1352,93868,0,149,0,15994,0
2017-05-16,7.93225289343137,342027,282,0,2028,65630,0,149,1352,4632,0
2017-05-17,8.17994469531467,299147,248,0,5409,18862,210919,0,2028,1323,210919
2017-05-18,7.72074312891211,325432,268,0,3380,15663,0,0,676,2206,0
2017-05-19,7.984108081983012,325796,268,0,1352,19413,0,0,1352,3860,0
2017-05-20,8.07449421121301,323292,268,0,676,16876,210919,0,676,2206,0
2017-05-21,8.001498861493905,321395,263,0,0,20847,421839,0,0,3309,0
2017-05-22,7.969043727111346,323292,268,0,0,104347,0,0,676,34414,0
2017-05-23,7.507070177713587,342592,282,0,6761,17648,0,0,676,2206,0
2017-05-24,8.001199501375241,299955,253,0,7437,17648,0,0,0,1764,0
2017-05-25,7.8569629194663255,320426,268,0,8789,24377,0,0,676,1764,0
2017-05-26,7.789732801279623,319618,268,0,1352,19523,0,0,2028,3309,0
2017-05-27,7.827228506700945,337989,282,0,676,18641,0,0,1352,1544,0
2017-05-28,8.021415473470244,330116,278,0,0,18972,0,0,0,3419,0
2017-05-29,7.8133787267707975,331731,278,0,1352,170530,0,0,2028,26693,0
2017-05-30,7.924785443466905,358178,287,0,4056,21509,0,0,676,2095,0
2017-05-31,7.95397937223968,301691,253,0,4056,24928,0,0,1352,3309,0
2017-06-01,7.264137446672162,340654,282,0,8789,34856,0,0,676,3198,0
2017-06-02,6.922180741045363,324383,268,0,2028,23935,0,0,676,3640,0
2017-06-03,7.361448080620815,345701,282,0,676,17979,0,0,1352,2426,0
2017-06-04,7.664715301834985,329349,273,0,0,20847,0,149,1352,1875,0
